anon_id,specification,Task,regression_occurrence,regression_severity,regression_rate,llm_familiarity,python_skill,p1_total_prompt_count,p2_total_prompt_count,delta_total_prompt_count,p1_average_prompt_len,p2_average_prompt_len,delta_average_prompt_len,p2_clarification_count,p2_debugging_count,p2_code_generation_count,p2_test_generation_count,phase2_alignment_score,phase2_omission_rate,alignment_score_change
S0001,G1,A,0,0,0.0,3.0,3.0,6.0,22,16.0,153.16666666666666,76.0909090909091,-77.07575757575756,9,6,1,6,,,
S0002,G1,A,0,0,0.0,,,7.0,8,1.0,32.714285714285715,107.75,75.03571428571428,3,1,1,3,,,
S0003,G1,A,0,0,0.0,5.0,2.0,9.0,5,-4.0,96.33333333333331,241.6,145.26666666666668,2,0,2,1,,,
S0004,G1,A,0,0,0.0,1.0,3.0,,1,,,388.0,,0,0,1,0,,,
S0005,G1,A,0,0,0.0,3.0,2.0,6.0,11,5.0,94.5,111.1818181818182,16.6818181818182,5,0,4,2,,,
S0006,G1,A,0,0,0.0,5.0,4.0,3.0,7,4.0,9.333333333333334,81.71428571428571,72.38095238095238,2,1,2,2,,,
S0007,G1,A,0,0,0.0,4.0,4.0,3.0,1,-2.0,116.33333333333331,487.0,370.6666666666667,0,0,1,0,,,
S0008,G1,A,0,0,0.0,4.0,1.0,6.0,7,1.0,81.5,91.0,9.5,1,2,2,2,,,
S0009,G1,A,0,0,0.0,,,17.0,10,-7.0,158.94117647058823,140.6,-18.341176470588238,7,1,1,1,,,
S0010,G1,A,0,0,0.0,3.0,4.0,3.0,10,7.0,189.66666666666663,60.5,-129.16666666666663,6,1,1,2,,,
S0011,G1,A,0,0,0.0,5.0,3.0,6.0,1,-5.0,208.5,565.0,356.5,0,0,1,0,,,
S0012,G1,A,0,0,0.0,,,3.0,4,1.0,109.33333333333331,182.5,73.16666666666669,1,0,2,1,,,
S0013,G1,B,0,0,0.0,3.0,3.0,5.0,3,-2.0,26.8,163.33333333333334,136.53333333333333,1,0,2,0,,,
S0014,G1,B,1,1,0.07692307692307693,4.0,4.0,2.0,7,5.0,380.5,179.71428571428572,-200.78571428571428,4,2,1,0,,,
S0015,G1,B,0,0,0.0,4.0,4.0,4.0,4,0.0,96.25,132.5,36.25,1,0,2,1,,,
S0016,G1,B,0,0,0.0,4.0,5.0,6.0,5,-1.0,16.0,73.2,57.2,2,0,1,2,,,
S0017,G1,B,0,0,0.0,2.0,2.0,2.0,3,1.0,6.0,153.33333333333334,147.33333333333334,1,0,2,0,,,
S0018,G1,B,0,0,0.0,2.0,2.0,3.0,7,4.0,225.66666666666663,100.85714285714286,-124.80952380952377,1,0,4,2,,,
S0019,G1,B,0,0,0.0,4.0,3.0,7.0,5,-2.0,63.142857142857146,86.4,23.25714285714286,3,0,1,1,,,
S0020,G1,B,0,0,0.0,4.0,5.0,3.0,6,3.0,138.0,73.66666666666667,-64.33333333333333,3,0,2,1,,,
S0021,G1,B,0,0,0.0,,,5.0,4,-1.0,134.0,119.75,-14.25,1,0,2,1,,,
S0022,G1,B,0,0,0.0,4.0,4.0,2.0,3,1.0,81.0,251.33333333333337,170.33333333333337,0,0,2,1,,,
S0023,G1,B,1,1,0.0625,4.0,2.0,3.0,5,2.0,68.66666666666667,111.4,42.733333333333334,1,1,2,1,,,
S0024,G1,B,0,0,0.0,4.0,3.0,4.0,3,-1.0,17.5,112.66666666666669,95.16666666666669,1,0,1,1,,,
S0025,G2,B,0,0,0.0,4.0,3.0,2.0,3,1.0,96.0,234.0,138.0,1,0,1,1,1.0,0.0,1.0
S0026,G2,B,0,0,0.0,3.0,3.0,1.0,6,5.0,259.0,109.16666666666669,-149.83333333333331,4,0,1,1,1.0,0.0,0.5
S0027,G2,B,1,8,0.5,4.0,3.0,4.0,1,-3.0,31.25,648.0,616.75,0,0,1,0,1.0,0.0,1.0
S0028,G2,B,0,0,0.0,2.0,2.0,5.0,8,3.0,113.2,94.625,-18.575000000000003,5,0,3,0,1.0,0.0,0.5
S0029,G2,B,0,0,0.0,5.0,2.0,6.0,6,0.0,78.83333333333333,140.33333333333334,61.500000000000014,3,0,2,1,0.75,0.25,0.25
S0030,G2,B,0,0,0.0,3.0,3.0,5.0,3,-2.0,151.4,322.0,170.6,1,1,1,0,1.0,0.0,0.0
S0031,G2,B,0,0,0.0,4.0,2.0,7.0,7,0.0,160.14285714285714,160.57142857142858,0.4285714285714448,4,0,2,1,0.75,0.25,0.0
S0032,G2,B,0,0,0.0,,,5.0,4,-1.0,218.0,121.5,-96.5,1,0,2,1,0.75,0.25,0.25
S0033,G2,B,0,0,0.0,4.0,4.0,6.0,12,6.0,78.66666666666667,60.166666666666664,-18.500000000000007,4,0,3,5,1.0,0.0,0.25
S0034,G2,B,0,0,0.0,4.0,3.0,8.0,2,-6.0,59.25,314.0,254.75,1,0,1,0,1.0,0.0,0.5
S0035,G2,B,0,0,0.0,4.0,3.0,3.0,3,0.0,290.3333333333333,140.66666666666666,-149.66666666666666,1,0,1,1,0.5,0.5,0.0
S0036,G2,B,1,1,0.07142857142857142,4.0,3.0,8.0,8,0.0,162.625,186.875,24.25,2,0,3,3,1.0,0.0,0.25
S0037,G2,A,0,0,0.0,4.0,4.0,3.0,5,2.0,437.0,688.0,251.0,1,1,1,2,1.0,0.0,0.25
S0038,G2,A,0,0,0.0,5.0,4.0,2.0,3,1.0,390.5,884.0,493.5,0,0,2,1,0.75,0.25,0.0
S0039,G2,A,0,0,0.0,3.0,2.0,4.0,3,-1.0,40.0,298.6666666666667,258.6666666666667,1,0,1,1,0.75,0.25,0.5
S0040,G2,A,0,0,0.0,2.0,3.0,2.0,2,0.0,55.0,333.5,278.5,1,0,1,0,0.5,0.5,0.5
S0041,G2,A,0,0,0.0,2.0,1.0,1.0,2,1.0,4.0,300.5,296.5,0,0,2,0,0.75,0.25,0.75
S0042,G2,A,0,0,0.0,3.0,3.0,4.0,4,0.0,113.0,324.0,211.0,0,0,2,2,1.0,0.0,0.25
S0043,G2,A,0,0,0.0,5.0,2.0,5.0,2,-3.0,11.8,332.0,320.2,0,0,2,0,1.0,0.0,1.0
S0044,G2,A,0,0,0.0,3.0,2.0,1.0,2,1.0,19.0,303.0,284.0,0,0,1,1,1.0,0.0,1.0
S0045,G2,A,0,0,0.0,4.0,3.0,7.0,8,1.0,134.71428571428572,195.25,60.53571428571428,2,2,3,1,1.0,0.0,0.5
S0046,G2,A,0,0,0.0,3.0,2.0,2.0,4,2.0,18.0,166.25,148.25,0,2,2,0,1.0,0.0,1.0
S0047,G2,A,0,0,0.0,3.0,3.0,6.0,2,-4.0,198.16666666666663,382.0,183.83333333333337,0,1,1,0,0.75,0.25,0.0
S0048,G2,A,0,0,0.0,3.0,3.0,10.0,2,-8.0,279.6,730.0,450.4,0,0,2,0,0.75,0.25,0.0
S0049,G3,A,0,0,0.0,4.0,3.0,7.0,4,-3.0,21.857142857142858,215.5,193.64285714285714,1,0,2,1,1.0,0.0,0.75
S0050,G3,B,0,0,,,,,2,,,258.5,,0,0,2,0,0.75,0.25,
S0051,G3,B,0,0,0.0,,,10.0,12,2.0,124.7,173.08333333333334,48.38333333333334,6,0,6,0,1.0,0.0,0.25
S0052,G3,B,0,0,0.0,4.0,3.0,10.0,1,-9.0,17.3,691.0,673.7,0,0,1,0,0.75,0.25,0.75
S0053,G3,A,0,0,0.0,4.0,5.0,6.0,2,-4.0,66.5,523.0,456.5,0,0,2,0,0.75,0.25,0.0
S0054,G3,A,0,0,0.0,2.0,4.0,2.0,2,0.0,173.0,409.5,236.5,1,0,1,0,0.75,0.25,0.25
S0055,G3,A,0,0,0.0,3.0,3.0,5.0,6,1.0,113.8,144.66666666666666,30.86666666666666,3,0,3,0,0.75,0.25,0.0
S0056,G3,A,0,0,0.0,4.0,3.0,12.0,16,4.0,55.5,76.3125,20.8125,6,0,7,3,0.75,0.25,0.0
S0057,G3,A,1,1,0.045454545454545456,2.0,1.0,4.0,5,1.0,211.0,251.6,40.599999999999994,0,1,4,0,1.0,0.0,0.0
S0058,G3,A,0,0,0.0,5.0,2.0,6.0,10,4.0,187.33333333333337,235.7,48.36666666666662,3,1,3,3,1.0,0.0,0.0
S0059,G3,A,0,0,0.0,3.0,3.0,4.0,6,2.0,212.25,224.5,12.25,2,2,1,1,1.0,0.0,0.25
S0060,G3,A,0,0,0.0,3.0,2.0,5.0,9,4.0,138.2,129.55555555555554,-8.644444444444446,0,3,3,3,1.0,0.0,0.25
S0061,G3,A,0,0,0.0,3.0,2.0,3.0,5,2.0,476.6666666666667,499.0,22.333333333333314,0,0,3,2,1.0,0.0,0.0
S0062,G3,A,1,1,0.05263157894736842,3.0,4.0,3.0,5,2.0,186.0,202.8,16.80000000000001,2,1,1,1,0.75,0.25,0.0
S0063,G3,A,1,1,0.030303030303030304,3.0,3.0,4.0,5,1.0,121.75,215.4,93.65,2,0,3,0,1.0,0.0,0.25
S0064,G3,B,0,0,0.0,4.0,3.0,6.0,6,0.0,159.0,149.66666666666666,-9.333333333333343,3,0,2,1,1.0,0.0,0.5
S0065,G3,B,0,0,0.0,4.0,2.0,1.0,2,1.0,353.0,357.5,4.5,0,0,2,0,0.75,0.25,0.25
S0066,G3,B,0,0,0.0,4.0,1.0,5.0,3,-2.0,109.4,290.6666666666667,181.26666666666668,0,0,2,1,1.0,0.0,0.5
S0067,G3,B,1,1,0.03333333333333333,4.0,3.0,3.0,4,1.0,128.33333333333334,158.75,30.416666666666657,0,1,2,1,0.75,0.25,0.25
S0068,G3,B,0,0,0.0,3.0,3.0,2.0,2,0.0,199.5,326.5,127.0,0,0,2,0,0.75,0.25,0.5
S0069,G3,B,0,0,0.0,3.0,3.0,3.0,3,0.0,111.0,174.0,63.0,1,0,2,0,0.75,0.25,0.5
S0070,G3,B,0,0,0.0,2.0,1.0,3.0,3,0.0,110.0,221.33333333333337,111.33333333333337,0,1,2,0,0.75,0.25,0.25
S0071,G3,B,0,0,0.0,2.0,2.0,13.0,17,4.0,36.30769230769231,46.64705882352941,10.339366515837106,9,1,4,3,0.75,0.25,0.25
S0072,G3,B,0,0,0.0,4.0,2.0,2.0,3,1.0,352.5,337.3333333333333,-15.166666666666686,0,0,3,0,0.75,0.25,0.25
