participant_id,task,spec_condition,python_skill,llm_familiarity,prompt_count,total_prompt_length,prompt_alignment,constraints_in_prompt,edge_cases_in_prompt,tests_requested,passed_tests,failure_count,failure_diversity
S0001,A,G1,3.0,3.0,6.0,919.0,0.0,0.0,0.0,0.0,10,23,4
S0002,A,G1,,,7.0,229.0,0.0,0.0,0.0,0.0,12,21,4
S0003,A,G1,5.0,2.0,9.0,867.0,0.0,0.0,0.0,0.0,10,23,4
S0004,A,G1,1.0,3.0,,,0.0,0.0,0.0,0.0,5,28,5
S0005,A,G1,3.0,2.0,6.0,567.0,0.0,0.0,0.0,0.0,13,20,4
S0006,A,G1,5.0,4.0,3.0,28.0,0.0,0.0,0.0,0.0,12,21,4
S0007,A,G1,4.0,4.0,3.0,349.0,0.0,0.0,0.0,0.0,10,23,4
S0008,A,G1,4.0,1.0,6.0,489.0,0.0,0.0,0.0,0.0,13,20,4
S0009,A,G1,,,17.0,2702.0,0.0,0.0,0.0,0.0,10,23,4
S0010,A,G1,3.0,4.0,3.0,569.0,0.0,0.0,0.0,0.0,10,23,4
S0011,A,G1,5.0,3.0,6.0,1251.0,0.0,0.0,0.0,0.0,11,22,4
S0012,A,G1,,,3.0,328.0,0.0,0.0,0.0,0.0,12,21,4
S0013,B,G1,3.0,3.0,5.0,134.0,0.0,0.0,0.0,0.0,14,19,4
S0014,B,G1,4.0,4.0,2.0,761.0,0.0,0.0,0.0,0.0,13,20,4
S0015,B,G1,4.0,4.0,4.0,385.0,0.0,0.0,0.0,0.0,12,21,4
S0016,B,G1,4.0,5.0,6.0,96.0,0.0,0.0,0.0,0.0,14,19,4
S0017,B,G1,2.0,2.0,2.0,12.0,0.0,0.0,0.0,0.0,9,24,4
S0018,B,G1,2.0,2.0,3.0,677.0,0.0,0.0,0.0,0.0,12,21,4
S0019,B,G1,4.0,3.0,7.0,442.0,0.0,0.0,0.0,0.0,16,17,4
S0020,B,G1,4.0,5.0,3.0,414.0,0.0,0.0,0.0,0.0,12,21,4
S0021,B,G1,,,5.0,670.0,0.0,0.0,0.0,0.0,9,24,4
S0022,B,G1,4.0,4.0,2.0,162.0,0.0,0.0,0.0,0.0,9,24,4
S0023,B,G1,4.0,2.0,3.0,206.0,0.0,0.0,0.0,0.0,16,17,4
S0024,B,G1,4.0,3.0,4.0,70.0,0.0,0.0,0.0,0.0,11,22,4
S0025,B,G2,4.0,3.0,2.0,192.0,0.0,0.0,0.0,0.0,15,18,4
S0026,B,G2,3.0,3.0,1.0,259.0,0.5,1.0,1.0,0.0,16,17,4
S0027,B,G2,4.0,3.0,4.0,125.0,0.0,0.0,0.0,0.0,16,17,4
S0028,B,G2,2.0,2.0,5.0,566.0,0.5,1.0,1.0,0.0,16,17,4
S0029,B,G2,5.0,2.0,6.0,473.0,0.5,1.0,1.0,0.0,12,21,4
S0030,B,G2,3.0,3.0,5.0,757.0,1.0,1.0,1.0,1.0,14,19,4
S0031,B,G2,4.0,2.0,7.0,1121.0,0.75,1.0,1.0,1.0,13,20,4
S0032,B,G2,,,5.0,1090.0,0.5,1.0,1.0,0.0,16,17,4
S0033,B,G2,4.0,4.0,6.0,472.0,0.75,1.0,1.0,1.0,14,19,4
S0034,B,G2,4.0,3.0,8.0,474.0,0.5,1.0,1.0,0.0,16,17,4
S0035,B,G2,4.0,3.0,3.0,871.0,0.5,1.0,1.0,0.0,14,19,4
S0036,B,G2,4.0,3.0,8.0,1301.0,0.75,1.0,1.0,1.0,14,19,4
S0037,A,G2,4.0,4.0,3.0,1311.0,0.75,1.0,1.0,1.0,14,19,4
S0038,A,G2,5.0,4.0,2.0,781.0,0.75,1.0,1.0,1.0,10,23,4
S0039,A,G2,3.0,2.0,4.0,160.0,0.25,1.0,0.0,0.0,11,22,4
S0040,A,G2,2.0,3.0,2.0,110.0,0.0,0.0,0.0,0.0,16,17,4
S0041,A,G2,2.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,9,24,4
S0042,A,G2,3.0,3.0,4.0,452.0,0.75,1.0,1.0,1.0,12,21,4
S0043,A,G2,5.0,2.0,5.0,59.0,0.0,0.0,0.0,0.0,10,23,4
S0044,A,G2,3.0,2.0,1.0,19.0,0.0,0.0,0.0,0.0,12,21,4
S0045,A,G2,4.0,3.0,7.0,943.0,0.5,1.0,1.0,0.0,15,18,4
S0046,A,G2,3.0,2.0,2.0,36.0,0.0,0.0,0.0,0.0,11,22,4
S0047,A,G2,3.0,3.0,6.0,1189.0,0.75,1.0,1.0,1.0,10,23,4
S0048,A,G2,3.0,3.0,10.0,2796.0,0.75,1.0,1.0,1.0,14,19,4
S0049,A,G3,4.0,3.0,7.0,153.0,0.25,0.0,0.0,1.0,13,20,4
S0050,B,G3,,,,,,,,,0,33,4
S0051,B,G3,,,10.0,1247.0,0.75,1.0,1.0,1.0,14,19,4
S0052,B,G3,4.0,3.0,10.0,173.0,0.0,0.0,0.0,0.0,9,24,4
S0053,A,G3,4.0,5.0,6.0,399.0,0.75,1.0,1.0,1.0,15,18,4
S0054,A,G3,2.0,4.0,2.0,346.0,0.5,1.0,1.0,0.0,18,15,4
S0055,A,G3,3.0,3.0,5.0,569.0,0.75,1.0,1.0,0.0,19,14,4
S0056,A,G3,4.0,3.0,12.0,666.0,0.75,1.0,1.0,0.0,32,1,1
S0057,A,G3,2.0,1.0,4.0,844.0,1.0,1.0,1.0,1.0,22,11,4
S0058,A,G3,5.0,2.0,6.0,1124.0,1.0,1.0,1.0,1.0,22,11,4
S0059,A,G3,3.0,3.0,4.0,849.0,0.75,1.0,1.0,0.0,19,14,4
S0060,A,G3,3.0,2.0,5.0,691.0,0.75,1.0,1.0,0.0,22,11,4
S0061,A,G3,3.0,2.0,3.0,1430.0,1.0,1.0,1.0,1.0,19,14,4
S0062,A,G3,3.0,4.0,3.0,558.0,0.75,1.0,1.0,0.0,19,14,4
S0063,A,G3,3.0,3.0,4.0,487.0,0.75,1.0,1.0,1.0,33,0,0
S0064,B,G3,4.0,3.0,6.0,954.0,0.5,1.0,1.0,0.0,30,3,2
S0065,B,G3,4.0,2.0,1.0,353.0,0.5,1.0,1.0,0.0,30,3,2
S0066,B,G3,4.0,1.0,5.0,547.0,0.5,1.0,0.0,1.0,24,9,4
S0067,B,G3,4.0,3.0,3.0,385.0,0.5,1.0,1.0,0.0,30,3,2
S0068,B,G3,3.0,3.0,2.0,399.0,0.25,1.0,0.0,0.0,24,9,4
S0069,B,G3,3.0,3.0,3.0,333.0,0.25,1.0,0.0,0.0,30,3,2
S0070,B,G3,2.0,1.0,3.0,330.0,0.5,1.0,1.0,0.0,30,3,2
S0071,B,G3,2.0,2.0,13.0,472.0,0.5,1.0,1.0,0.0,30,3,2
S0072,B,G3,4.0,2.0,2.0,705.0,0.5,1.0,1.0,0.0,15,18,4
