phase,id,total_prompts,explicitly_referred_to_specification,carried_constraints_from_spec,carried_edge_cases_from_spec,asked_to_preserve_invariants,asked_to_update_or_generate_tests_based_on_spec,omitted_important_spec_elements,carried_constraints_from_spec_appeared_at_least_once,carried_edge_cases_from_spec_appeared_at_least_once,asked_to_preserve_invariants_appeared_at_least_once,asked_to_update_or_generate_tests_based_on_spec_appeared_at_least_once,specified_element_categories_total,specified_element_categories_appeared,specified_element_categories_omitted,alignment_score,omission_rate
Phase 1,S0025,2,0,0,0,0,0,0,False,False,False,False,4,0,4,0.0,1.0
Phase 1,S0026,1,1,1,1,0,0,0,True,True,False,False,4,2,2,0.5,0.5
Phase 1,S0027,4,1,0,0,0,0,1,False,False,False,False,4,0,4,0.0,1.0
Phase 1,S0028,5,1,1,1,0,0,2,True,True,False,False,4,2,2,0.5,0.5
Phase 1,S0029,6,1,1,1,0,0,1,True,True,False,False,4,2,2,0.5,0.5
Phase 1,S0030,5,1,2,2,1,1,1,True,True,True,True,4,4,0,1.0,0.0
Phase 1,S0031,7,1,4,4,0,1,1,True,True,False,True,4,3,1,0.75,0.25
Phase 1,S0032,5,1,3,3,0,0,2,True,True,False,False,4,2,2,0.5,0.5
Phase 1,S0033,6,1,1,1,0,1,0,True,True,False,True,4,3,1,0.75,0.25
Phase 1,S0034,8,1,1,1,0,0,1,True,True,False,False,4,2,2,0.5,0.5
Phase 1,S0035,3,1,1,1,0,0,0,True,True,False,False,4,2,2,0.5,0.5
Phase 1,S0036,8,1,4,4,0,1,3,True,True,False,True,4,3,1,0.75,0.25
Phase 1,S0037,3,1,2,2,0,1,2,True,True,False,True,4,3,1,0.75,0.25
Phase 1,S0038,2,0,2,2,0,1,1,True,True,False,True,4,3,1,0.75,0.25
Phase 1,S0039,4,0,1,0,0,0,1,True,False,False,False,4,1,3,0.25,0.75
Phase 1,S0040,2,0,0,0,0,0,1,False,False,False,False,4,0,4,0.0,1.0
Phase 1,S0041,1,0,0,0,0,0,0,False,False,False,False,4,0,4,0.0,1.0
Phase 1,S0042,4,0,2,2,0,1,2,True,True,False,True,4,3,1,0.75,0.25
Phase 1,S0043,5,0,0,0,0,0,1,False,False,False,False,4,0,4,0.0,1.0
Phase 1,S0044,1,0,0,0,0,0,1,False,False,False,False,4,0,4,0.0,1.0
Phase 1,S0045,7,0,3,1,0,0,4,True,True,False,False,4,2,2,0.5,0.5
Phase 1,S0046,2,0,0,0,0,0,0,False,False,False,False,4,0,4,0.0,1.0
Phase 1,S0047,6,0,6,3,0,1,4,True,True,False,True,4,3,1,0.75,0.25
Phase 1,S0048,10,2,9,9,0,3,3,True,True,False,True,4,3,1,0.75,0.25
Phase 1,S0049,7,0,0,0,0,1,0,False,False,False,True,4,1,3,0.25,0.75
Phase 1,S0051,10,1,4,1,0,1,8,True,True,False,True,4,3,1,0.75,0.25
Phase 1,S0052,10,1,0,0,0,0,2,False,False,False,False,4,0,4,0.0,1.0
Phase 1,S0053,6,1,4,3,0,1,2,True,True,False,True,4,3,1,0.75,0.25
Phase 1,S0054,2,1,1,1,0,0,0,True,True,False,False,4,2,2,0.5,0.5
Phase 1,S0055,5,1,1,1,1,0,0,True,True,True,False,4,3,1,0.75,0.25
Phase 1,S0056,12,1,2,2,1,0,2,True,True,True,False,4,3,1,0.75,0.25
Phase 1,S0057,4,2,3,2,2,1,1,True,True,True,True,4,4,0,1.0,0.0
Phase 1,S0058,6,4,3,2,2,2,2,True,True,True,True,4,4,0,1.0,0.0
Phase 1,S0059,4,1,2,2,1,0,0,True,True,True,False,4,3,1,0.75,0.25
Phase 1,S0060,5,1,2,2,1,0,3,True,True,True,False,4,3,1,0.75,0.25
Phase 1,S0061,3,2,3,3,3,1,1,True,True,True,True,4,4,0,1.0,0.0
Phase 1,S0062,3,1,1,1,1,0,0,True,True,True,False,4,3,1,0.75,0.25
Phase 1,S0063,4,2,1,2,0,1,1,True,True,False,True,4,3,1,0.75,0.25
Phase 1,S0064,6,3,2,2,0,0,2,True,True,False,False,4,2,2,0.5,0.5
Phase 1,S0065,1,1,1,1,0,0,0,True,True,False,False,4,2,2,0.5,0.5
Phase 1,S0066,5,1,2,0,0,2,2,True,False,False,True,4,2,2,0.5,0.5
Phase 1,S0067,3,1,1,1,0,0,1,True,True,False,False,4,2,2,0.5,0.5
Phase 1,S0068,2,1,1,0,0,0,2,True,False,False,False,4,1,3,0.25,0.75
Phase 1,S0069,3,1,1,0,0,0,0,True,False,False,False,4,1,3,0.25,0.75
Phase 1,S0070,3,1,2,2,0,0,1,True,True,False,False,4,2,2,0.5,0.5
Phase 1,S0071,13,3,1,1,0,0,1,True,True,False,False,4,2,2,0.5,0.5
Phase 1,S0072,2,1,2,2,0,0,1,True,True,False,False,4,2,2,0.5,0.5
Phase 2,S0025,3,1,1,1,1,1,1,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0026,6,2,2,1,2,1,0,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0027,1,1,1,1,1,1,1,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0028,8,2,3,2,2,1,2,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0029,6,1,2,0,1,1,0,True,False,True,True,4,3,1,0.75,0.25
Phase 2,S0030,3,1,2,2,1,1,0,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0031,7,1,2,2,0,2,2,True,True,False,True,4,3,1,0.75,0.25
Phase 2,S0032,4,1,1,1,0,2,2,True,True,False,True,4,3,1,0.75,0.25
Phase 2,S0033,12,1,2,1,1,3,5,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0034,2,1,1,1,1,1,0,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0035,3,1,0,0,1,1,0,False,False,True,True,4,2,2,0.5,0.5
Phase 2,S0036,8,1,3,4,1,2,4,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0037,5,2,4,3,1,3,2,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0038,3,2,3,3,0,2,0,True,True,False,True,4,3,1,0.75,0.25
Phase 2,S0039,3,2,2,2,0,2,3,True,True,False,True,4,3,1,0.75,0.25
Phase 2,S0040,2,1,1,0,0,1,1,True,False,False,True,4,2,2,0.5,0.5
Phase 2,S0041,2,1,2,2,0,1,1,True,True,False,True,4,3,1,0.75,0.25
Phase 2,S0042,4,2,2,2,1,2,0,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0043,2,1,2,2,1,2,1,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0044,2,2,2,1,1,2,0,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0045,8,1,4,2,2,2,4,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0046,4,1,1,1,1,1,1,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0047,2,1,1,0,1,1,1,True,False,True,True,4,3,1,0.75,0.25
Phase 2,S0048,2,2,2,2,0,1,1,True,True,False,True,4,3,1,0.75,0.25
Phase 2,S0049,4,1,2,2,1,2,2,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0050,2,1,2,1,0,1,1,True,True,False,True,4,3,1,0.75,0.25
Phase 2,S0051,12,2,11,3,7,1,10,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0052,1,1,1,1,0,1,0,True,True,False,True,4,3,1,0.75,0.25
Phase 2,S0053,2,2,2,2,0,2,1,True,True,False,True,4,3,1,0.75,0.25
Phase 2,S0054,2,1,1,1,0,1,0,True,True,False,True,4,3,1,0.75,0.25
Phase 2,S0055,6,2,2,2,0,1,0,True,True,False,True,4,3,1,0.75,0.25
Phase 2,S0056,16,3,5,4,0,3,4,True,True,False,True,4,3,1,0.75,0.25
Phase 2,S0057,5,3,4,3,1,3,2,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0058,10,4,4,4,1,3,3,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0059,6,1,3,3,1,1,1,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0060,9,3,4,3,2,2,1,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0061,5,4,4,4,2,3,2,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0062,5,2,2,2,2,0,0,True,True,True,False,4,3,1,0.75,0.25
Phase 2,S0063,5,4,2,3,1,2,3,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0064,6,3,1,2,2,2,0,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0065,2,2,1,1,0,1,1,True,True,False,True,4,3,1,0.75,0.25
Phase 2,S0066,3,1,2,2,1,2,3,True,True,True,True,4,4,0,1.0,0.0
Phase 2,S0067,4,1,1,1,0,1,3,True,True,False,True,4,3,1,0.75,0.25
Phase 2,S0068,2,1,1,1,0,1,2,True,True,False,True,4,3,1,0.75,0.25
Phase 2,S0069,3,1,1,1,0,1,1,True,True,False,True,4,3,1,0.75,0.25
Phase 2,S0070,3,1,2,2,0,1,0,True,True,False,True,4,3,1,0.75,0.25
Phase 2,S0071,17,3,2,0,1,2,1,True,False,True,True,4,3,1,0.75,0.25
Phase 2,S0072,3,1,3,3,0,2,1,True,True,False,True,4,3,1,0.75,0.25
